no.blocks,heuristic,mb_cost_per_iteration
20,HEURISTIC.LAZY,194.71377427132632
20,HEURISTIC.LAZY,358.5792528261436
20,HEURISTIC.LAZY,358.5612745652836
20,HEURISTIC.LAZY,358.6800519384402
20,HEURISTIC.LAZY,357.81025315375496
20,HEURISTIC.LAZY,357.961653799558
20,HEURISTIC.LAZY,358.762226826271
20,HEURISTIC.LAZY,358.7408883609737
20,HEURISTIC.LAZY,358.455800106859
20,HEURISTIC.LAZY,358.36833350962286
20,HEURISTIC.LAZY,339.12756532100707
20,HEURISTIC.LAZY,358.6740725985511
20,HEURISTIC.LAZY,358.6960994166622
20,HEURISTIC.LAZY,358.88408647824735
20,HEURISTIC.LAZY,358.28066709909393
20,HEURISTIC.LAZY,359.15134097189537
20,HEURISTIC.LAZY,358.5794640607829
20,HEURISTIC.LAZY,359.20540191630516
20,HEURISTIC.LAZY,359.0807336592336
20,HEURISTIC.LAZY,359.0238995151856
20,HEURISTIC.LAZY,340.8003109125108
20,HEURISTIC.LAZY,360.2246255438782
20,HEURISTIC.LAZY,360.10096687536634
20,HEURISTIC.LAZY,359.8122147456658
20,HEURISTIC.LAZY,360.254627003187
20,HEURISTIC.LAZY,359.65830461247407
20,HEURISTIC.LAZY,359.34736074070395
20,HEURISTIC.LAZY,359.47030755604953
20,HEURISTIC.LAZY,360.017396542474
20,HEURISTIC.LAZY,359.8681092479631
20,HEURISTIC.LAZY,340.8087722922783
20,HEURISTIC.LAZY,360.63241918721667
20,HEURISTIC.LAZY,360.72175980137683
20,HEURISTIC.LAZY,360.2101172794452
20,HEURISTIC.LAZY,360.046173120474
20,HEURISTIC.LAZY,360.8518698076942
20,HEURISTIC.LAZY,359.95271722367465
20,HEURISTIC.LAZY,360.1381629648955
20,HEURISTIC.LAZY,360.6978823148269
20,HEURISTIC.LAZY,360.56825632946584
20,HEURISTIC.LAZY,339.6869272264539
20,HEURISTIC.LAZY,360.43488190835876
20,HEURISTIC.LAZY,360.2567410993535
20,HEURISTIC.LAZY,360.6816543398993
20,HEURISTIC.LAZY,361.21708288311845
20,HEURISTIC.LAZY,361.0540861393805
20,HEURISTIC.LAZY,361.39647157717843
20,HEURISTIC.LAZY,361.335301474165
20,HEURISTIC.LAZY,361.5964736729459
20,HEURISTIC.LAZY,361.6266994866007
20,HEURISTIC.LAZY,344.32072018408434
20,HEURISTIC.LAZY,364.89020874240384
20,HEURISTIC.LAZY,364.2518542506957
20,HEURISTIC.LAZY,365.58435354384517
20,HEURISTIC.LAZY,365.64808177212024
20,HEURISTIC.LAZY,364.57420839275153
20,HEURISTIC.LAZY,364.7783843094446
20,HEURISTIC.LAZY,365.13755051388375
20,HEURISTIC.LAZY,365.81145879413276
20,HEURISTIC.LAZY,365.70817297592396
20,HEURISTIC.LAZY,344.57970921330906
20,HEURISTIC.LAZY,365.58698959028584
20,HEURISTIC.LAZY,365.0574928653886
20,HEURISTIC.LAZY,366.3050409733646
20,HEURISTIC.LAZY,366.3830511131158
20,HEURISTIC.LAZY,365.43039023656473
20,HEURISTIC.LAZY,365.6421377815919
20,HEURISTIC.LAZY,365.9991962305768
20,HEURISTIC.LAZY,366.6152740666188
20,HEURISTIC.LAZY,366.5337522461667
20,HEURISTIC.LAZY,344.3189353921282
20,HEURISTIC.LAZY,365.1486828916866
20,HEURISTIC.LAZY,364.51254181249215
20,HEURISTIC.LAZY,365.8430879925674
20,HEURISTIC.LAZY,365.9070379297908
20,HEURISTIC.LAZY,364.83749916895147
20,HEURISTIC.LAZY,365.04221309911793
20,HEURISTIC.LAZY,365.4013376309032
20,HEURISTIC.LAZY,366.07238436547925
20,HEURISTIC.LAZY,365.97004815094016
20,HEURISTIC.LAZY,340.0971163235612
20,HEURISTIC.LAZY,362.27598768825476
20,HEURISTIC.LAZY,362.4230001582064
20,HEURISTIC.LAZY,362.7633108734197
20,HEURISTIC.LAZY,363.02724154990267
20,HEURISTIC.LAZY,363.27325545999963
20,HEURISTIC.LAZY,363.4906473388861
20,HEURISTIC.LAZY,363.70677990132845
20,HEURISTIC.LAZY,363.70417079834647
20,HEURISTIC.LAZY,363.80754703175455
20,HEURISTIC.LAZY,344.2864104066603
20,HEURISTIC.LAZY,365.44836625853725
20,HEURISTIC.LAZY,364.7948821906883
20,HEURISTIC.LAZY,366.13755439599026
20,HEURISTIC.LAZY,366.19899424912273
20,HEURISTIC.LAZY,365.11327782961126
20,HEURISTIC.LAZY,365.31711318233755
20,HEURISTIC.LAZY,365.6762960426664
20,HEURISTIC.LAZY,366.35378747954337
20,HEURISTIC.LAZY,366.24873465025576
20,HEURISTIC.LAZY,340.54129704697357
20,HEURISTIC.LAZY,362.83799368319774
20,HEURISTIC.LAZY,363.0618900641097
20,HEURISTIC.LAZY,363.16951251134924
20,HEURISTIC.LAZY,362.4732130649237
20,HEURISTIC.LAZY,363.71434542624627
20,HEURISTIC.LAZY,363.21965402670014
