planner,heuristic,num_objects,est_cost,cost,states_explored,time_taken
HEURISTIC,LAZY,5,857.1125520580014,185.71496699118043,20.0,0.0032135035
HEURISTIC,DILIGENT,5,923.1668715637283,190.17096730383344,20.0,0.037129517900000006
HEURISTIC,ANTICIPATORY,5,1013.7032997457118,200.77237510982036,20.0,0.004214652399999999
HEURISTIC,ANTICIPATORY_ONCE,5,974.494347208841,205.5472415427796,20.0,0.0032643992999999995
MULTI_BOUND,MIXED,5,1026.1188487893178,199.5601722898765,120.0,0.0379358834
MULTI_BOUND_G,MIXED_G,5,168.76130351450374,177.62577552414658,8951.8,2.3657034282000002
HEURISTIC,LAZY,10,24896.698978492775,386.8711382244459,40.0,0.0085510192
HEURISTIC,DILIGENT,10,20826.98845879484,368.71911928694254,40.0,0.125588104
HEURISTIC,ANTICIPATORY,10,21737.17423603169,347.0262831248959,40.0,0.014387485499999996
HEURISTIC,ANTICIPATORY_ONCE,10,23295.722600672903,382.6327942552845,40.0,0.008893664700000001
MULTI_BOUND,MIXED,10,24226.60379255058,377.75901746423835,3230.0,2.0087927673
MULTI_BOUND_G,MIXED_G,10,320.1558055841011,335.86798730685825,9008.4,3.6376114162999995
HEURISTIC,LAZY,25,587942563.3384277,825.423949602834,100.0,0.0425880111
HEURISTIC,DILIGENT,25,614160679.3726896,858.0342023172586,100.0,0.7007086766999999
HEURISTIC,ANTICIPATORY,25,567957625.7295095,824.0059037015286,100.0,0.09910817740000001
HEURISTIC,ANTICIPATORY_ONCE,25,547011548.9519471,834.5012734875161,100.0,0.04523511750000001
MULTI_BOUND,MIXED,25,605269704.6474578,841.0006734435095,1808.0,5.667329841799999
MULTI_BOUND_G,MIXED_G,25,786.7284861602242,826.3112249789116,9827.7,9.2263241903
HEURISTIC,LAZY,50,1.6280679661940564e+16,1622.525273056457,200.0,0.15306579960000002
HEURISTIC,DILIGENT,50,1.6406084022620476e+16,1587.0891075976106,200.0,2.6820088467
HEURISTIC,ANTICIPATORY,50,1.6862800226118724e+16,1588.6114701600031,200.0,0.5595284174
HEURISTIC,ANTICIPATORY_ONCE,50,1.5444017121161324e+16,1566.4673497177014,200.0,0.14540139430000004
MULTI_BOUND,MIXED,50,1.6152781332841078e+16,1538.0882132754878,973.2,11.495305903999999
MULTI_BOUND_G,MIXED_G,50,1380.8810179478685,1450.1231332976056,10134.4,13.811752399600001
HEURISTIC,LAZY,100,1.314476256008407e+31,3703.6455499877566,400.0,0.5652989465
HEURISTIC,DILIGENT,100,1.5526004928857e+31,3716.463102835444,400.0,9.835720301199999
HEURISTIC,ANTICIPATORY,100,1.4437832646197587e+31,3784.5301454142245,400.0,3.6644097088
HEURISTIC,ANTICIPATORY_ONCE,100,1.4402216364485928e+31,3690.0742018047044,400.0,0.5671968535999999
MULTI_BOUND,MIXED,100,1.24566651210492e+31,3655.2410307338478,644.0,24.878069801299997
MULTI_BOUND_G,MIXED_G,100,2606.9347741123447,2757.6054598589567,10400.0,25.457925763499997
HEURISTIC,LAZY,250,1.6865483718724926e+76,10834.51761292561,1000.0,3.4674287056999993
HEURISTIC,DILIGENT,250,1.7036807828792864e+76,10725.40101684655,1000.0,53.648502493
HEURISTIC,ANTICIPATORY,250,1.4969635116194333e+76,10751.538914067589,1000.0,51.562199156400006
HEURISTIC,ANTICIPATORY_ONCE,250,1.5256032720833598e+76,10878.92889645957,1000.0,3.3921680010000004
MULTI_BOUND,MIXED,250,1.8391048772090145e+76,10673.006600124028,1000.0,80.7048090369
MULTI_BOUND_G,MIXED_G,250,6102.847153943066,6558.238175902913,11000.0,62.23419402310001
