planner,heuristic,num_objects,trial_num,est_cost,cost,states_explored,time_taken
HEURISTIC,LAZY,10,0,397.98329636487205,417.29411909487305,40.0,0.014142144
HEURISTIC,DILIGENT,10,0,416.3017928990608,417.97682995655765,40.0,0.484944335
HEURISTIC,ANTICIPATORY,10,0,397.98329636487205,417.29411909487305,40.0,0.018324208
HEURISTIC,ANTICIPATORY_ONCE,10,0,397.98329636487205,417.29411909487305,40.0,0.014075993
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,10,0,451.7413817101296,424.7013191158484,40.0,0.01484193
MULTI_BOUND_G,MIXED_G,10,0,395.5240262655075,416.94326421101704,6080.0,4.377802409
HEURISTIC,LAZY,10,1,373.0894104169304,388.68801964429156,40.0,0.01470589
HEURISTIC,DILIGENT,10,1,389.7770331591123,388.46086588944183,40.0,0.422912339
HEURISTIC,ANTICIPATORY,10,1,373.0894104169304,388.68801964429156,40.0,0.018994944
HEURISTIC,ANTICIPATORY_ONCE,10,1,373.0894104169304,388.68801964429156,40.0,0.014419385
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,10,1,350.67201588941725,373.4642571289554,40.0,0.01518448
MULTI_BOUND_G,MIXED_G,10,1,359.18722863743375,374.27339405402574,5488.0,2.716595322
HEURISTIC,LAZY,10,2,300.0156581515058,313.2460149558382,40.0,0.017439747
HEURISTIC,DILIGENT,10,2,310.8089431656786,313.1537317739323,40.0,0.31670744
HEURISTIC,ANTICIPATORY,10,2,283.6571569530517,302.74536054118306,40.0,0.019127561
HEURISTIC,ANTICIPATORY_ONCE,10,2,300.0156581515058,313.2460149558382,40.0,0.014301315
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,10,2,463.1316283369667,292.6803225129816,40.0,0.01550483
MULTI_BOUND_G,MIXED_G,10,2,290.9425498113988,306.5461809322256,6258.0,4.120696117
HEURISTIC,LAZY,10,3,329.79664589739554,350.28017696915424,40.0,0.015270598
HEURISTIC,DILIGENT,10,3,348.35864734784855,350.06822824424773,40.0,0.4269378
HEURISTIC,ANTICIPATORY,10,3,327.3137308206704,348.61564414365716,40.0,0.019070899
HEURISTIC,ANTICIPATORY_ONCE,10,3,329.79664589739554,350.28017696915424,40.0,0.014794736
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,10,3,558.4211341522767,375.3385037846754,40.0,0.014368076
MULTI_BOUND_G,MIXED_G,10,3,327.45086491850844,346.52052220203865,5735.0,3.435716398
HEURISTIC,LAZY,10,4,276.16008056902973,288.3679819332305,40.0,0.014914981
HEURISTIC,DILIGENT,10,4,287.9634113091815,288.5148276957912,40.0,0.356314293
HEURISTIC,ANTICIPATORY,10,4,277.2281376962816,288.3679819332305,40.0,0.019694665
HEURISTIC,ANTICIPATORY_ONCE,10,4,276.16008056902973,288.3679819332305,40.0,0.015068439
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,10,4,308.6436952144248,313.2588988896853,40.0,0.015108431
MULTI_BOUND_G,MIXED_G,10,4,271.6229417549033,284.72009440211883,5728.0,3.073784685
HEURISTIC,LAZY,10,5,284.83059178474036,298.8954147606271,40.0,0.015112334
HEURISTIC,DILIGENT,10,5,297.1619592815052,298.57860718925144,40.0,0.344861084
HEURISTIC,ANTICIPATORY,10,5,284.7929356233599,298.8954147606271,40.0,0.020200871
HEURISTIC,ANTICIPATORY_ONCE,10,5,284.83059178474036,298.8954147606271,40.0,0.015350384
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,10,5,407.92270466541504,321.3813414318492,40.0,0.015658582
MULTI_BOUND_G,MIXED_G,10,5,285.07848891960367,298.4595891500742,5231.0,2.626540021
HEURISTIC,LAZY,10,6,335.0498237401872,353.60543816914367,40.0,0.014667401
HEURISTIC,DILIGENT,10,6,353.6120838474109,353.44283065982734,40.0,0.414219828
HEURISTIC,ANTICIPATORY,10,6,334.1043789599055,353.60543816914367,40.0,0.019920332
HEURISTIC,ANTICIPATORY_ONCE,10,6,335.0498237401872,353.60543816914367,40.0,0.014671902
