planner,heuristic,num_objects,est_cost,cost,states_explored,time_taken
HEURISTIC,LAZY,5,1041.6603235285875,206.4736550160187,20.0,0.0029612257
HEURISTIC,DILIGENT,5,1092.916977508541,207.22252260973605,20.0,0.0324637416
HEURISTIC,ANTICIPATORY,5,873.5731881740443,200.31513930434915,20.0,0.0046462667
HEURISTIC,ANTICIPATORY_ONCE,5,975.6313318165934,205.9973021566424,20.0,0.0029392376999999997
MULTI_BOUND,MIXED,5,962.8410654846018,210.298104800834,130.0,0.039324624999999995
MULTI_BOUND_G,MIXED_G,5,165.1617031152224,172.50090927053822,8974.6,2.3568026434999996
HEURISTIC,LAZY,10,21823.649387110483,371.314063682903,40.0,0.008374187699999999
HEURISTIC,DILIGENT,10,23227.646171345965,355.20076732991464,40.0,0.1081910407
HEURISTIC,ANTICIPATORY,10,25484.2457593848,350.25852028420735,40.0,0.0129180078
HEURISTIC,ANTICIPATORY_ONCE,10,24853.6580436578,393.985833272886,40.0,0.0084559917
MULTI_BOUND,MIXED,10,23772.777898878063,404.29359723875444,3510.5,2.1553134612999996
MULTI_BOUND_G,MIXED_G,10,343.59076983375087,360.4634905659997,9102.9,3.8659050334000007
HEURISTIC,LAZY,15,641009.8769327765,535.3968051554332,60.0,0.0177293045
HEURISTIC,DILIGENT,15,782671.4215473675,512.4609697120384,60.0,0.26812338999999996
HEURISTIC,ANTICIPATORY,15,603993.024560656,508.06591207372213,60.0,0.032543264200000005
HEURISTIC,ANTICIPATORY_ONCE,15,654162.8503551335,513.3046212600207,60.0,0.0200151937
MULTI_BOUND,MIXED,15,677058.008493974,528.0332035145242,2904.4,4.1618697309999995
MULTI_BOUND_G,MIXED_G,15,475.9691360706876,498.83940438218525,9420.8,5.6322324341000005
HEURISTIC,LAZY,20,16267821.689908367,669.3082100694694,80.0,0.028149743900000003
HEURISTIC,DILIGENT,20,19878159.509081833,687.4872871604185,80.0,0.44738926430000003
HEURISTIC,ANTICIPATORY,20,18854534.54615351,665.3375681577884,80.0,0.0616678316
HEURISTIC,ANTICIPATORY_ONCE,20,19204402.91267534,697.1989297410071,80.0,0.0279799841
MULTI_BOUND,MIXED,20,20602414.02487015,717.8582768483982,2238.3,4.7885180457
MULTI_BOUND_G,MIXED_G,20,601.944386928363,631.741786830256,9342.4,6.339109130999999
HEURISTIC,LAZY,25,547946418.3543652,822.5631581316347,100.0,0.0445527553
HEURISTIC,DILIGENT,25,606783691.3158166,834.7952728342785,100.0,0.8074019972
HEURISTIC,ANTICIPATORY,25,544844022.4363232,844.5109950111489,100.0,0.102039743
HEURISTIC,ANTICIPATORY_ONCE,25,533553705.01756144,817.7225739630982,100.0,0.0475869538
MULTI_BOUND,MIXED,25,591119462.0727341,816.6136894622074,1800.0,6.2872410286
