planner,heuristic,num_objects,est_cost,cost,states_explored,time_taken
HEURISTIC,LAZY,5,290.68158518091826,70.43739637967381,20.0,0.0030187848
HEURISTIC,DILIGENT,5,300.68894660790966,70.43739637967381,20.0,0.014094861
HEURISTIC,ANTICIPATORY,5,285.2560069405635,70.43739637967381,20.0,0.003967068400000001
HEURISTIC,ANTICIPATORY_ONCE,5,285.2560069405635,70.43739637967381,20.0,0.0030769596
HEURISTIC,LAZY,10,8510.015344821873,113.3133694986313,40.0,0.008836716599999999
HEURISTIC,DILIGENT,10,9099.34159336978,112.42694797617699,40.0,0.0442931429
HEURISTIC,ANTICIPATORY,10,8105.286775249263,112.42694797617699,40.0,0.0142024619
HEURISTIC,ANTICIPATORY_ONCE,10,8104.855557571374,112.42694797617699,40.0,0.0098500341
HEURISTIC,LAZY,20,4881801.601961457,201.96241032858757,80.0,0.030460933699999998
HEURISTIC,DILIGENT,20,5627303.490426809,206.33410645563185,80.0,0.1667085804
HEURISTIC,ANTICIPATORY,20,4613367.639450802,207.85224159130559,80.0,0.06674969519999999
HEURISTIC,ANTICIPATORY_ONCE,20,4593540.636993475,203.93744998635222,80.0,0.030801086800000006
HEURISTIC,LAZY,30,4410736223.452051,355.240079623214,120.0,0.06136398750000001
HEURISTIC,DILIGENT,30,4994275724.510366,351.7650239485288,120.0,0.34155468440000003
HEURISTIC,ANTICIPATORY,30,3629165519.4805856,343.8402120414024,120.0,0.16668464860000004
HEURISTIC,ANTICIPATORY_ONCE,30,3473152129.7471914,346.8310757393557,120.0,0.059747232399999996
HEURISTIC,LAZY,50,4286468009044183.0,551.9274257200784,200.0,0.15494369689999998
HEURISTIC,DILIGENT,50,5069419530278253.0,563.9023247318106,200.0,0.8965658609
HEURISTIC,ANTICIPATORY,50,3968039933141909.0,575.9066301224955,200.0,0.5943755814999999
HEURISTIC,ANTICIPATORY_ONCE,50,3973358138598863.0,583.1781611322284,200.0,0.15550347860000002
