planner,heuristic,problem,trial_num,est_cost,cost,states_explored,time_taken
HEURISTIC,LAZY,box,0,458.7102002069513,521.6860515046305,72,0.122792223
HEURISTIC,DILIGENT,box,0,495.05318808008326,538.9592117074285,72,0.920239901
HEURISTIC,ANTICIPATORY,box,0,473.6056660335459,517.7026170268141,72,0.165293406
HEURISTIC,ANTICIPATORY_ONCE,box,0,458.7102002069513,521.6860515046305,72,0.048697072
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,box,0,482.5660424815,519.7066719861699,72,0.049386566
MULTI_BOUND_G,MIXED_G,box,0,460.76224312196064,506.278379879358,7005,9.210679567
HEURISTIC,LAZY,box,1,416.80734795540354,463.9590413237345,72,0.048990206
HEURISTIC,DILIGENT,box,1,434.16240414743334,460.37445774251216,72,0.823742156
HEURISTIC,ANTICIPATORY,box,1,422.74601852416663,520.1075528867486,72,0.161348185
HEURISTIC,ANTICIPATORY_ONCE,box,1,416.80734795540354,463.9590413237345,72,0.047132763
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,box,1,433.5759667173661,512.2431898082954,72,0.047449092
MULTI_BOUND_G,MIXED_G,box,1,414.7772641079437,454.2935310909589,8948,8.845624401
HEURISTIC,LAZY,box,2,432.2375079735848,487.5678127188729,72,0.048211664
HEURISTIC,DILIGENT,box,2,466.6015103139705,489.67934735040785,72,0.876245871
HEURISTIC,ANTICIPATORY,box,2,459.5168719380227,495.66948608392624,72,0.157096436
HEURISTIC,ANTICIPATORY_ONCE,box,2,432.2375079735848,487.5678127188729,72,0.047530296
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,box,2,457.0396448872062,488.0132259044045,72,0.047588045
MULTI_BOUND_G,MIXED_G,box,2,433.3866031756155,471.81468326997606,6404,7.035844171
HEURISTIC,LAZY,triangle,0,370.78285646606133,421.8730256213762,64,0.039535804
HEURISTIC,DILIGENT,triangle,0,388.42165927546125,416.4752461367241,64,0.615406537
HEURISTIC,ANTICIPATORY,triangle,0,360.0202692182114,407.222845302668,64,0.119169908
HEURISTIC,ANTICIPATORY_ONCE,triangle,0,370.78285646606133,421.8730256213762,64,0.039330777
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,triangle,0,375.884905530537,410.2998155760448,64,0.038888871
