no.blocks,heuristic,mb_cost_per_iteration
10,HEURISTIC.LAZY,108.79974807778866
10,HEURISTIC.LAZY,182.19182470157835
10,HEURISTIC.LAZY,194.11312745410862
10,HEURISTIC.LAZY,194.1316285334739
10,HEURISTIC.LAZY,194.29727349826396
10,HEURISTIC.LAZY,182.23851994609203
10,HEURISTIC.LAZY,194.2269041062188
10,HEURISTIC.LAZY,194.25322435052507
10,HEURISTIC.LAZY,194.40978782024655
10,HEURISTIC.LAZY,182.1145795806117
10,HEURISTIC.LAZY,194.20845320540138
10,HEURISTIC.LAZY,194.2445438784262
10,HEURISTIC.LAZY,194.39001543175124
10,HEURISTIC.LAZY,194.9667015023653
10,HEURISTIC.LAZY,183.04316585589368
10,HEURISTIC.LAZY,182.4397060563516
10,HEURISTIC.LAZY,195.1282397669955
10,HEURISTIC.LAZY,195.236122807021
10,HEURISTIC.LAZY,195.2976625679231
10,HEURISTIC.LAZY,183.044329398735
10,HEURISTIC.LAZY,183.03521288426458
10,HEURISTIC.LAZY,167.15814670729046
10,HEURISTIC.LAZY,182.91722919767398
10,HEURISTIC.LAZY,182.92777484019138
10,HEURISTIC.LAZY,182.5860526696046
10,HEURISTIC.LAZY,194.82022249098014
10,HEURISTIC.LAZY,194.8387235703454
10,HEURISTIC.LAZY,195.00436853513543
10,HEURISTIC.LAZY,182.95317902682035
10,HEURISTIC.LAZY,182.63145188831868
10,HEURISTIC.LAZY,194.93140709149105
10,HEURISTIC.LAZY,194.95772733579733
10,HEURISTIC.LAZY,195.1142908055188
10,HEURISTIC.LAZY,182.49106343617927
10,HEURISTIC.LAZY,194.88006001735553
10,HEURISTIC.LAZY,194.91615069038033
10,HEURISTIC.LAZY,195.06162224370541
10,HEURISTIC.LAZY,182.94204905578286
10,HEURISTIC.LAZY,182.95897356345392
10,HEURISTIC.LAZY,182.79826824982644
10,HEURISTIC.LAZY,195.7640032547641
10,HEURISTIC.LAZY,195.8718862947896
10,HEURISTIC.LAZY,195.9334260556917
10,HEURISTIC.LAZY,182.90868695270876
10,HEURISTIC.LAZY,182.9137894273906
10,HEURISTIC.LAZY,182.88928783362672
10,HEURISTIC.LAZY,167.121993863174
10,HEURISTIC.LAZY,204.29212826392484
10,HEURISTIC.LAZY,183.08812217718446
10,HEURISTIC.LAZY,204.59413166893273
10,HEURISTIC.LAZY,183.0744498905633
10,HEURISTIC.LAZY,183.12801235103956
10,HEURISTIC.LAZY,182.9468477790908
10,HEURISTIC.LAZY,195.15048558119315
10,HEURISTIC.LAZY,195.16898666055843
10,HEURISTIC.LAZY,195.3346316253485
10,HEURISTIC.LAZY,183.08796844900706
10,HEURISTIC.LAZY,183.13386528160083
