no.blocks,heuristic,mb_cost_per_iteration
10,HEURISTIC.LAZY,121.98765647836433
10,HEURISTIC.LAZY,214.93949882163838
10,HEURISTIC.LAZY,215.9773416192753
10,HEURISTIC.LAZY,216.14002230256074
10,HEURISTIC.LAZY,216.2394671243315
10,HEURISTIC.LAZY,216.74652840513505
10,HEURISTIC.LAZY,216.8774973914941
10,HEURISTIC.LAZY,217.3390415069967
10,HEURISTIC.LAZY,217.09415580504418
10,HEURISTIC.LAZY,217.32823302925473
10,HEURISTIC.LAZY,217.37782864824914
10,HEURISTIC.LAZY,198.41384145857677
10,HEURISTIC.LAZY,214.80621828328492
10,HEURISTIC.LAZY,215.8151551627982
10,HEURISTIC.LAZY,215.97675381378946
10,HEURISTIC.LAZY,216.0744176623016
10,HEURISTIC.LAZY,216.61427095039167
10,HEURISTIC.LAZY,216.71260307916194
10,HEURISTIC.LAZY,217.19336628485414
10,HEURISTIC.LAZY,216.93176798893498
10,HEURISTIC.LAZY,217.17756318565245
10,HEURISTIC.LAZY,217.2251159774309
10,HEURISTIC.LAZY,198.62390597327186
10,HEURISTIC.LAZY,215.07694194210586
10,HEURISTIC.LAZY,216.1162910577786
10,HEURISTIC.LAZY,216.2790845369733
10,HEURISTIC.LAZY,216.37873208444967
10,HEURISTIC.LAZY,216.88395959774024
10,HEURISTIC.LAZY,217.0167300699294
10,HEURISTIC.LAZY,217.4767995785673
10,HEURISTIC.LAZY,217.23310364069587
10,HEURISTIC.LAZY,217.46623954991557
10,HEURISTIC.LAZY,217.5159595850111
10,HEURISTIC.LAZY,196.27093495278734
10,HEURISTIC.LAZY,213.8439856721098
10,HEURISTIC.LAZY,214.99718818974958
10,HEURISTIC.LAZY,215.16467652474395
10,HEURISTIC.LAZY,215.64665535092462
10,HEURISTIC.LAZY,215.27355244830804
10,HEURISTIC.LAZY,215.90667546117626
10,HEURISTIC.LAZY,216.27910348074172
10,HEURISTIC.LAZY,216.1083519410771
10,HEURISTIC.LAZY,216.28724445557114
10,HEURISTIC.LAZY,216.34502237304292
10,HEURISTIC.LAZY,198.17656529696012
10,HEURISTIC.LAZY,215.76550846763234
10,HEURISTIC.LAZY,216.76972637726794
10,HEURISTIC.LAZY,216.93158935053572
10,HEURISTIC.LAZY,217.0297793313637
10,HEURISTIC.LAZY,217.57392934826916
10,HEURISTIC.LAZY,217.6679368579484
10,HEURISTIC.LAZY,218.14828487615952
10,HEURISTIC.LAZY,217.88641841177682
10,HEURISTIC.LAZY,218.1316503118742
10,HEURISTIC.LAZY,218.17902874625412
10,HEURISTIC.LAZY,199.31589655514387
10,HEURISTIC.LAZY,216.95550346731517
10,HEURISTIC.LAZY,218.10578281756784
10,HEURISTIC.LAZY,218.27240720142004
10,HEURISTIC.LAZY,218.75658102668348
10,HEURISTIC.LAZY,218.3792451582434
10,HEURISTIC.LAZY,219.01409123150847
10,HEURISTIC.LAZY,219.39541386809265
10,HEURISTIC.LAZY,219.21896131928548
10,HEURISTIC.LAZY,219.40391700430922
10,HEURISTIC.LAZY,219.46142276798048
10,HEURISTIC.LAZY,193.25696419538963
