planner,heuristic,num_objects,est_cost,cost,states_explored,time_taken
HEURISTIC,LAZY,10,20866.691193000675,357.6908485376962,40.0,0.0095567866
HEURISTIC,DILIGENT,10,24441.736094523098,368.2999487702036,40.0,0.14411872499999998
HEURISTIC,ANTICIPATORY,10,24128.380408226,385.2363989787676,40.0,0.0155099501
HEURISTIC,ANTICIPATORY_ONCE,10,24868.260966297203,373.64132469588736,40.0,0.009634435299999999
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,10,23641.984209409035,358.00636662998534,40.0,0.0097200484
MULTI_BOUND,MIXED,10,26974.236123541505,372.4171961458347,3096.4,2.0975852207
MULTI_BOUND_G,MIXED_G,10,21769.888165084492,363.44272115798424,4030.1,1.3171402244000001
HEURISTIC,LAZY,30,17549985315.17724,988.7798273640337,120.0,0.06446405910000001
HEURISTIC,DILIGENT,30,20327910955.502193,991.3468059418989,120.0,1.1798542401000003
HEURISTIC,ANTICIPATORY,30,18705141654.410393,969.8104469451118,120.0,0.1865153136
HEURISTIC,ANTICIPATORY_ONCE,30,17070306234.930553,1007.1451699000424,120.0,0.06477795780000001
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,30,15701330511.801281,957.4169373221305,120.0,0.0648935682
MULTI_BOUND,MIXED,30,17108970173.3709,974.103847522308,1522.0,7.583510774199999
MULTI_BOUND_G,MIXED_G,30,18911306644.411823,959.1379246283516,1508.4,1.3304083824
HEURISTIC,LAZY,50,1.730584917907366e+16,1569.9554414349375,200.0,0.16844628460000002
HEURISTIC,DILIGENT,50,1.5465713429318284e+16,1574.8784162695947,200.0,3.140653586
HEURISTIC,ANTICIPATORY,50,1.6889554345464768e+16,1631.0209649141957,200.0,0.7110190935
HEURISTIC,ANTICIPATORY_ONCE,50,1.3956180270243552e+16,1555.4237126752457,200.0,0.1702767657
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,50,1.6374235875955098e+16,1609.8446534636353,200.0,0.17021151429999998
MULTI_BOUND,MIXED,50,1.6197757598553716e+16,1582.2800348859193,974.0,13.0870492149
MULTI_BOUND_G,MIXED_G,50,1.5869139806203044e+16,1604.7244145656698,978.0,1.5136935068
HEURISTIC,LAZY,100,1.5520698285395698e+31,3677.0752991347254,400.0,0.6518087076000001
HEURISTIC,DILIGENT,100,1.539796720045887e+31,3643.8997086407835,400.0,11.678619820100002
HEURISTIC,ANTICIPATORY,100,1.2676420443940447e+31,3645.0416163785476,400.0,4.869453245200001
HEURISTIC,ANTICIPATORY_ONCE,100,1.6277348271756634e+31,3742.2232292721174,400.0,0.6518677294999999
