planner,heuristic,num_objects,trial_num,est_cost,cost,states_explored,time_taken
HEURISTIC,LAZY,10,0,334.6766190861382,350.7564847264143,40,0.016787776
HEURISTIC,DILIGENT,10,0,350.9801190119968,351.0909347485023,40,0.45507227
HEURISTIC,ANTICIPATORY,10,0,329.32665924299954,350.7564847264143,40,0.038849035
HEURISTIC,ANTICIPATORY_ONCE,10,0,334.6766190861382,350.7564847264143,40,0.016991292
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,10,0,332.56600539851274,350.7564847264143,40,0.016883327
MULTI_BOUND_G,MIXED_G,10,0,334.2749820075841,350.2275652633125,6785,6.16115491
HEURISTIC,LAZY,10,1,359.67536573459506,378.08618765919215,40,0.018335837
HEURISTIC,DILIGENT,10,1,389.2205270800682,389.58002266641273,40,0.569461347
HEURISTIC,ANTICIPATORY,10,1,359.67536573459506,378.08618765919215,40,0.039420417
HEURISTIC,ANTICIPATORY_ONCE,10,1,359.67536573459506,378.08618765919215,40,0.017679504
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,10,1,359.87586684067537,378.08618765919215,40,0.017303824
MULTI_BOUND_G,MIXED_G,10,1,352.806791196263,371.73175232780045,6632,7.177036761
HEURISTIC,LAZY,10,2,415.3651094896962,439.2626185318715,40,0.017642303
HEURISTIC,DILIGENT,10,2,435.592757332553,436.04055966905537,40,0.684761675
HEURISTIC,ANTICIPATORY,10,2,414.2190722327731,439.2626185318715,40,0.039288877
HEURISTIC,ANTICIPATORY_ONCE,10,2,415.3651094896962,439.2626185318715,40,0.017456533
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,10,2,415.50818068521653,439.2626185318715,40,0.017729008
MULTI_BOUND_G,MIXED_G,10,2,407.2679035612464,432.63964598876913,5952,5.250465315
HEURISTIC,LAZY,30,0,926.3732517803231,973.0534004306193,120,0.135940912
HEURISTIC,DILIGENT,30,0,983.9813802847158,985.5150548471338,120,4.276759581
HEURISTIC,ANTICIPATORY,30,0,902.7407086899558,975.1825939047565,120,0.621029574
HEURISTIC,ANTICIPATORY_ONCE,30,0,926.3732517803231,973.0534004306193,120,0.132617961
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,30,0,912.9242460632837,979.9738674430353,120,0.135817167
MULTI_BOUND_G,MIXED_G,30,0,912.792930866261,959.2334129434856,5860,9.302890092
HEURISTIC,LAZY,30,1,884.3580629945698,932.811101192026,120,0.132616237
HEURISTIC,DILIGENT,30,1,949.7297902348956,949.879058543824,120,4.249732
HEURISTIC,ANTICIPATORY,30,1,861.972508785125,890.0107289201491,120,0.617221828
HEURISTIC,ANTICIPATORY_ONCE,30,1,884.3580629945698,932.811101192026,120,0.132264741
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,30,1,871.8651783394497,907.346092560931,120,0.133862956
MULTI_BOUND_G,MIXED_G,30,1,866.1503485520067,914.2183853266276,6428,11.068838172
HEURISTIC,LAZY,30,2,1044.9010418743578,1096.8963162763862,120,0.134187398
HEURISTIC,DILIGENT,30,2,1086.0322943550616,1086.118272170761,120,4.884428289
HEURISTIC,ANTICIPATORY,30,2,1013.8046237143783,1089.7742036040333,120,0.607887131
HEURISTIC,ANTICIPATORY_ONCE,30,2,1044.9010418743578,1096.8963162763862,120,0.131114342
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,30,2,1022.3915716400031,1080.0838951865649,120,0.130908782
MULTI_BOUND_G,MIXED_G,30,2,999.5088638123268,1049.1797075197887,6336,11.415011666
HEURISTIC,LAZY,50,0,1531.2791324866078,1603.9613831299241,200,0.466639613
HEURISTIC,DILIGENT,50,0,1608.1725132076251,1610.5176045628248,200,11.075073164
HEURISTIC,ANTICIPATORY,50,0,1499.240889334802,1582.15561971012,200,2.500934809
HEURISTIC,ANTICIPATORY_ONCE,50,0,1531.2791324866078,1603.9613831299241,200,0.351034595
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,50,0,1509.4216650187398,1583.8606952799153,200,0.36558748
MULTI_BOUND_G,MIXED_G,50,0,1531.277259361195,1604.5793757537695,6472,17.669958703
HEURISTIC,LAZY,50,1,1427.8213665431572,1505.0400683001576,200,0.358807311
HEURISTIC,DILIGENT,50,1,1483.0557031230787,1484.8817694853838,200,10.638593053
HEURISTIC,ANTICIPATORY,50,1,1450.1491752248864,1551.2312321565626,200,2.577365067
HEURISTIC,ANTICIPATORY_ONCE,50,1,1427.8213665431572,1505.0400683001576,200,0.36571901
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,50,1,1441.5013653525257,1524.530401758842,200,0.412036546
MULTI_BOUND_G,MIXED_G,50,1,1418.6581053708853,1493.6928247210133,7542,24.671219649
HEURISTIC,LAZY,50,2,1518.0866311903906,1595.4580211956725,200,0.362930044
HEURISTIC,DILIGENT,50,2,1570.1422741618778,1571.8580767568951,200,11.785112424
HEURISTIC,ANTICIPATORY,50,2,1503.5345022920615,1617.6802563021104,200,2.511963252
HEURISTIC,ANTICIPATORY_ONCE,50,2,1518.0866311903906,1595.4580211956725,200,0.402172815
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,50,2,1531.7069912153088,1639.6608098446013,200,0.356232454
MULTI_BOUND_G,MIXED_G,50,2,1509.7111237884394,1586.1256221459653,5796,14.037948278
HEURISTIC,LAZY,100,0,2999.671426587952,3166.054950107448,400,1.444724513
HEURISTIC,DILIGENT,100,0,3181.193544415291,3184.46653149711,400,47.454599731
HEURISTIC,ANTICIPATORY,100,0,2860.3309464181707,3076.035929192063,400,18.434549052
HEURISTIC,ANTICIPATORY_ONCE,100,0,2999.671426587952,3166.054950107448,400,1.495985893
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,100,0,2891.574078664301,3122.1378584285912,400,1.476163033
MULTI_BOUND_G,MIXED_G,100,0,2999.8604217969983,3164.6830941209423,7908,52.003013694
HEURISTIC,LAZY,100,1,2666.7010268161703,2820.9839351986543,400,1.507120369
HEURISTIC,DILIGENT,100,1,2787.8603571016647,2792.6838915782887,400,44.63364578
HEURISTIC,ANTICIPATORY,100,1,2695.545890965969,2956.3960670623733,400,18.489177479
HEURISTIC,ANTICIPATORY_ONCE,100,1,2666.7010268161703,2820.9839351986543,400,1.476979708
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,100,1,2663.059742997418,2898.1102168533766,400,1.428298061
MULTI_BOUND_G,MIXED_G,100,1,2642.6373288794985,2796.300547675576,6084,28.383704726
HEURISTIC,LAZY,100,2,2611.752760997931,2764.8628811495723,400,1.491251667
HEURISTIC,DILIGENT,100,2,2715.00141194277,2722.484988993862,400,41.737584695
HEURISTIC,ANTICIPATORY,100,2,2553.9043632419975,2750.9626245100603,400,18.227463927
HEURISTIC,ANTICIPATORY_ONCE,100,2,2611.752760997931,2764.8628811495723,400,1.38599177
HEURISTIC,ANTICIPATORY_ONCE_DISCOUNT,100,2,2531.0940251584907,2741.4180051501507,400,1.392020599
MULTI_BOUND_G,MIXED_G,100,2,2581.5543366189654,2734.675432372328,6820,34.405162786
HEURISTIC,LAZY,150,0,4500.972984723925,4778.56143633497,600,3.252201209
HEURISTIC,DILIGENT,150,0,4713.974693907782,4726.347490636521,600,106.464064116
HEURISTIC,ANTICIPATORY,150,0,4463.939688640459,4868.623573762904,600,59.125953636
HEURISTIC,ANTICIPATORY_ONCE,150,0,4500.972984723925,4778.56143633497,600,3.229119777
