planner,heuristic,num_objects,est_cost,cost,states_explored,time_taken
HEURISTIC,LAZY,5,1025.5011909572193,223.22823986427292,20.0,0.0030985425
HEURISTIC,DILIGENT,5,885.4005968690319,190.47835767905002,20.0,0.031173489300000003
HEURISTIC,ANTICIPATORY,5,967.3887153958243,196.13134366952403,20.0,0.0043064159
HEURISTIC,ANTICIPATORY_ONCE,5,912.6276845871159,200.16602326341356,20.0,0.0034728079000000004
MULTI_BOUND,MIXED,5,917.1134007745128,203.98167089300173,132.4,0.0418477828
MULTI_BOUND_G,MIXED_G,5,900.3617887972193,203.47011339069056,6522.1,1.3400529573
HEURISTIC,LAZY,10,23447.635466474407,373.122731756255,40.0,0.0094381004
HEURISTIC,DILIGENT,10,25512.574866221203,348.96857156607996,40.0,0.1302066334
HEURISTIC,ANTICIPATORY,10,21900.559318876105,384.86741067529465,40.0,0.015056350400000001
HEURISTIC,ANTICIPATORY_ONCE,10,22482.178997427523,368.9429412017312,40.0,0.009213647500000002
MULTI_BOUND,MIXED,10,23567.48564252405,347.07759218893887,2895.4,1.9795671433000002
MULTI_BOUND_G,MIXED_G,10,23103.430917279595,372.56769894237885,4048.8,1.3372798190000001
HEURISTIC,LAZY,15,736912.6060887511,532.5683032369465,60.0,0.0186982724
HEURISTIC,DILIGENT,15,657864.0055436611,526.091125196564,60.0,0.2700410839
HEURISTIC,ANTICIPATORY,15,613924.403054042,563.6606008985049,60.0,0.035859172
HEURISTIC,ANTICIPATORY_ONCE,15,740262.3731461846,565.9093892752924,60.0,0.0187904939
MULTI_BOUND,MIXED,15,617752.5278542063,518.2186511943281,2903.4,3.9116672444000002
MULTI_BOUND_G,MIXED_G,15,628670.4942542666,534.1185516456513,2938.2,1.3673244067999997
HEURISTIC,LAZY,20,19734573.434200354,695.16925426749,80.0,0.0315863943
HEURISTIC,DILIGENT,20,19862767.386073343,690.3322984380386,80.0,0.4920994245000001
HEURISTIC,ANTICIPATORY,20,17651820.453265034,672.7809880226346,80.0,0.0694437624
HEURISTIC,ANTICIPATORY_ONCE,20,15873568.790647242,672.0348337352798,80.0,0.03167752460000001
MULTI_BOUND,MIXED,20,19375843.14715649,687.5511130820036,2239.5,5.0328364717
MULTI_BOUND_G,MIXED_G,20,18561500.621370036,712.8882522376882,2263.8,1.3273353527
HEURISTIC,LAZY,25,570657869.102895,851.7596535176168,100.0,0.0465159488
HEURISTIC,DILIGENT,25,626991921.3472985,832.5671735615012,100.0,0.7813917871
HEURISTIC,ANTICIPATORY,25,573559309.0249307,849.6159399366679,100.0,0.11768079940000001
HEURISTIC,ANTICIPATORY_ONCE,25,515126919.03461295,807.8142086536483,100.0,0.0467938822
MULTI_BOUND,MIXED,25,606941767.987129,831.1515395695894,1800.8,6.313226386799999
MULTI_BOUND_G,MIXED_G,25,643396649.5386529,880.7892066451675,1800.0,1.3259507865000002
HEURISTIC,LAZY,30,17889072693.547512,1020.5844537184703,120.0,0.0650087918
HEURISTIC,DILIGENT,30,17491573610.2867,1032.2780778499991,120.0,1.1013197913000001
HEURISTIC,ANTICIPATORY,30,17515850647.386368,1025.8267291547959,120.0,0.18478126860000002
HEURISTIC,ANTICIPATORY_ONCE,30,17721328399.496407,1012.5557084440097,120.0,0.0653772362
MULTI_BOUND,MIXED,30,18281340135.827522,1004.4342336765725,1512.4,7.6340332167
MULTI_BOUND_G,MIXED_G,30,18260841722.18428,1040.5622093964503,1518.0,1.3844435626
HEURISTIC,LAZY,35,583430775452.3337,1142.1596357661329,140.0,0.08862185349999999
HEURISTIC,DILIGENT,35,509928124410.5701,1119.281916111579,140.0,1.5238884999
HEURISTIC,ANTICIPATORY,35,486925644536.65247,1139.8882554809065,140.0,0.284141684
HEURISTIC,ANTICIPATORY_ONCE,35,525571318343.116,1158.1809002318053,140.0,0.0901343421
MULTI_BOUND,MIXED,35,507686659719.7909,1124.411440991837,1328.8,9.113684691900001
MULTI_BOUND_G,MIXED_G,35,454618640647.8506,1150.1855030613847,1339.6,1.4322137871
HEURISTIC,LAZY,40,18685914200847.496,1296.68337697928,160.0,0.11856021509999999
HEURISTIC,DILIGENT,40,18257362848101.652,1298.1887715036614,160.0,1.9849097992999998
HEURISTIC,ANTICIPATORY,40,17045856098441.328,1256.084149007788,160.0,0.4013704774
HEURISTIC,ANTICIPATORY_ONCE,40,17497125205164.863,1298.9024757190195,160.0,0.11500504070000002
MULTI_BOUND,MIXED,40,14697183820817.646,1298.6989943188207,1183.2,10.5827829226
MULTI_BOUND_G,MIXED_G,40,16066862917283.906,1266.005647045769,1180.0,1.4860637765999998
HEURISTIC,LAZY,45,491344873575529.5,1431.7452219919837,180.0,0.1486371878
HEURISTIC,DILIGENT,45,580165537985986.0,1425.1422933087858,180.0,2.5301424849
HEURISTIC,ANTICIPATORY,45,516384302254345.4,1448.1574267762703,180.0,0.5424628802
HEURISTIC,ANTICIPATORY_ONCE,45,485147071658387.4,1431.310102549988,180.0,0.1433409827
MULTI_BOUND,MIXED,45,521534577046226.3,1464.843499168015,1060.0,11.752760897299998
MULTI_BOUND_G,MIXED_G,45,519471448481725.5,1452.6003437395118,1062.4,1.4903549211
HEURISTIC,LAZY,50,1.6870457734735884e+16,1571.2360795473476,200.0,0.1685690601
HEURISTIC,DILIGENT,50,1.50902237830376e+16,1592.25067031754,200.0,2.8862266053999996
HEURISTIC,ANTICIPATORY,50,1.5252571855259584e+16,1554.7609428241171,200.0,0.6957248892
HEURISTIC,ANTICIPATORY_ONCE,50,1.6458907718681882e+16,1590.1698820170893,200.0,0.1692322233
MULTI_BOUND,MIXED,50,1.7250493466289892e+16,1554.7615814551045,972.0,13.1830505125
MULTI_BOUND_G,MIXED_G,50,1.5339150787153578e+16,1610.506388994781,978.0,1.5266777307000001
